Ингредиент,"Белки, г","Жиры, г","Углеводы, г","Энергетическая ценность, кКал","Клетчатка, г","Лактоза, г","Глютен, г"
Вода,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Молоко цельное 3,2%",3.0,3.5,4.7,62.0,0.0,4.7,0.0
"Молоко 2,5%",2.9,2.5,4.8,54.0,0.0,4.8,0.0
Молоко обезжиренное,3.0,0.1,4.9,32.0,0.0,4.9,0.0
Сливки 10%,2.6,10.0,4.0,120.0,0.0,4.0,0.0
Сливки 20%,2.5,20.0,4.0,207.0,0.0,4.0,0.0
Сливки 33%,1.8,33.0,3.2,317.0,0.0,3.2,0.0
Сливки 35%,2.2,35.0,3.2,337.0,0.0,3.2,0.0
Крем чиз,7.3,28.0,2.1,289.0,0.0,2.1,0.0
Маскарпоне,4.8,41.5,4.8,412.0,0.0,1.0,0.0
Йогурт обезжиренный,6.0,2.0,5.0,70.0,0.0,1.0,0.0
"Йогурт 3,5%",3.0,3.5,7.0,85.0,0.0,1.0,0.0
Йогурт греческий,8.0,2.0,4.2,70.0,0.0,1.0,0.0
Творог обезжиренный,18.0,1.5,1.5,90.0,0.0,0.0,0.0
Творог обычный,16.0,5.0,2.8,120.0,0.0,0.0,0.0
Молоко сгущенное цельное,7.2,8.5,55.5,328.0,0.0,11.28,0.0
Молоко сгущенное обезжиренное,7.5,0.2,56.8,259.0,0.0,12.25,0.0
Мука пшеничная в/с,9.2,1.4,70.0,364.0,2.4,0.0,9.2
Мука пшеничная 1 с,11.1,1.5,68.0,329.0,4.9,0.0,11.1
Мука пшеничная цельнозерновая,13.0,2.5,61.3,340.0,11.0,0.0,13.0
Мука рисовая,7.5,0.5,77.5,360.0,0.0,0.0,0.0
Мука гречневая,12.6,2.6,72.0,334.0,0.0,0.0,0.0
Мука кукурузная,0.0,1.5,72.0,340.0,0.0,0.0,0.0
Мука полбяная,17.0,2.4,60.0,382.0,0.0,0.0,15.0
Мука овсяная,13.0,6.8,65.0,369.0,4.5,0.0,4.5
Крахмал картофельный,7.0,0.0,78.0,375.0,6.0,0.0,0.0
Крахмал кукурузный,1.0,0.6,85.0,343.0,1.7,0.0,0.0
Крахмал рисовый,0.3,0.8,83.0,375.0,0.0,0.0,0.0
Крахмал тапиоки,0.0,0.0,85.0,360.0,0.0,0.0,0.0
Отруби пшеничные,16.0,4.3,17.0,216.0,43.0,0.0,16.0
Тесто Катаифи,10.0,1.4,70.0,364.0,2.4,0.0,9.2
Молоко сухое цельное (СЦМ),26.0,27.0,38.0,496.0,0.0,38.0,0.0
Молоко сухое обезжиренное (СОМ,33.2,1.0,52.6,362.0,0.0,52.6,0.0
Сыворотка сухая подсырная деминерализованная,11.0,1.5,70.0,333.0,0.0,70.0,0.0
Сыр сухой 38% жира,18.0,40.0,36.0,576.0,0.0,36.0,0.0
Пахта сухая,34.3,5.8,49.0,387.0,0.0,49.0,0.0
Сахар,0.0,0.0,100.0,399.0,0.0,0.0,0.0
Сахарная пудра,0.0,0.0,100.0,399.0,0.0,0.0,0.0
